Date,Index
2015-01-21,971.0
2015-01-20,752.0
2015-01-19,662.0
2015-01-16,620.0
2015-01-15,585.0
2015-01-14,557.0
2015-01-13,537.0
2015-01-12,373.0
2015-01-09,311.0
2015-01-08,335.0
2015-01-07,397.0
2015-01-06,432.0
2015-01-05,442.0
2015-01-02,456.0
2014-12-24,474.0
2014-12-23,472.0
2014-12-22,480.0
2014-12-19,488.0
2014-12-18,517.0
2014-12-17,571.0
2014-12-16,617.0
2014-12-15,659.0
2014-12-12,763.0
2014-12-11,879.0
2014-12-10,979.0
2014-12-09,1075.0
2014-12-08,1165.0
2014-12-05,1282.0
2014-12-04,1452.0
2014-12-03,1677.0
2014-12-02,1898.0
2014-12-01,2025.0
2014-11-28,2151.0
2014-11-27,2347.0
2014-11-26,2612.0
2014-11-25,2963.0
2014-11-24,2975.0
2014-11-21,3038.0
2014-11-20,3130.0
2014-11-19,3127.0
2014-11-18,3106.0
2014-11-17,2971.0
2014-11-14,2931.0
2014-11-13,2972.0
2014-11-12,3229.0
2014-11-11,3419.0
2014-11-10,3613.0
2014-11-07,3661.0
2014-11-06,3612.0
2014-11-05,3702.0
2014-11-04,3781.0
2014-11-03,3640.0
2014-10-31,3552.0
2014-10-30,3534.0
2014-10-29,3560.0
2014-10-28,3436.0
2014-10-27,2852.0
2014-10-24,2422.0
2014-10-23,2258.0
2014-10-22,2186.0
2014-10-21,2003.0
2014-10-20,1512.0
2014-10-17,1362.0
2014-10-16,1315.0
2014-10-15,1376.0
2014-10-14,1485.0
2014-10-10,1544.0
2014-10-09,1580.0
2014-10-08,1632.0
2014-10-07,1698.0
2014-10-06,1735.0
2014-10-03,1758.0
2014-10-02,1788.0
2014-10-01,1853.0
2014-09-30,1915.0
2014-09-29,1922.0
2014-09-26,1852.0
2014-09-25,1837.0
2014-09-24,1967.0
2014-09-23,2077.0
2014-09-22,2118.0
2014-09-19,2112.0
2014-09-18,2192.0
2014-09-17,2342.0
2014-09-16,2442.0
2014-09-15,2523.0
2014-09-12,2546.0
2014-09-11,2570.0
2014-09-10,2602.0
2014-09-09,2596.0
2014-09-08,2519.0
2014-09-05,2483.0
2014-09-04,2464.0
2014-09-03,2489.0
2014-09-02,2568.0
2014-09-01,2606.0
2014-08-29,2627.0
2014-08-28,2551.0
2014-08-27,2366.0
2014-08-26,2430.0
2014-08-22,2535.0
2014-08-21,2578.0
2014-08-20,2380.0
2014-08-19,2256.0
2014-08-18,2254.0
2014-08-15,2151.0
2014-08-14,1882.0
2014-08-13,1546.0
2014-08-12,1350.0
2014-08-11,1197.0
2014-08-08,1166.0
2014-08-07,1150.0
2014-08-06,1153.0
2014-08-05,1163.0
2014-08-04,1178.0
2014-08-01,1176.0
2014-07-31,1195.0
2014-07-30,1200.0
2014-07-29,1195.0
2014-07-28,1187.0
2014-07-25,1193.0
2014-07-24,1201.0
2014-07-23,1198.0
2014-07-22,1191.0
2014-07-21,1194.0
2014-07-18,1235.0
2014-07-17,1248.0
2014-07-16,1289.0
2014-07-15,1377.0
2014-07-14,1422.0
2014-07-11,1465.0
2014-07-10,1523.0
2014-07-09,1648.0
2014-07-08,1755.0
2014-07-07,1808.0
2014-07-04,1864.0
2014-07-03,1935.0
2014-07-02,1999.0
2014-07-01,2045.0
2014-06-30,1871.0
2014-06-27,1773.0
2014-06-26,1748.0
2014-06-25,1799.0
2014-06-24,1848.0
2014-06-23,1896.0
2014-06-20,1950.0
2014-06-19,1919.0
2014-06-18,1767.0
2014-06-17,1676.0
2014-06-16,1695.0
2014-06-13,1730.0
2014-06-12,1792.0
2014-06-11,1864.0
2014-06-10,1903.0
2014-06-09,1846.0
2014-06-06,1793.0
2014-06-05,1689.0
2014-06-04,1604.0
2014-06-03,1545.0
2014-06-02,1429.0
2014-05-30,1395.0
2014-05-29,1379.0
2014-05-28,1405.0
2014-05-27,1457.0
2014-05-23,1358.0
2014-05-22,1302.0
2014-05-21,1354.0
2014-05-20,1431.0
2014-05-19,1494.0
2014-05-16,1530.0
2014-05-15,1546.0
2014-05-14,1496.0
2014-05-13,1453.0
2014-05-12,1483.0
2014-05-09,1542.0
2014-05-08,1613.0
2014-05-07,1681.0
2014-05-06,1691.0
2014-05-02,1829.0
2014-05-01,1716.0
2014-04-30,1600.0
2014-04-29,1613.0
2014-04-28,1668.0
2014-04-25,1696.0
2014-04-24,1692.0
2014-04-22,1616.0
2014-04-17,1591.0
2014-04-16,1613.0
2014-04-15,1724.0
2014-04-14,1765.0
2014-04-11,1789.0
2014-04-10,1865.0
2014-04-09,1946.0
2014-04-08,2029.0
2014-04-07,2293.0
2014-04-04,2306.0
2014-04-03,2343.0
2014-04-02,2418.0
2014-04-01,2505.0
2014-03-31,2573.0
2014-03-28,2557.0
2014-03-27,2579.0
2014-03-26,2761.0
2014-03-24,3055.0
2014-03-21,3036.0
2014-03-20,3129.0
2014-03-19,2982.0
2014-03-18,2818.0
2014-03-17,2691.0
2014-03-14,2677.0
2014-03-13,2654.0
2014-03-12,2600.0
2014-03-11,3045.0
2014-03-10,3023.0
2014-03-07,2980.0
